issuer_ticker,as_of_date,iva_company_rating,environmental_pillar_score,climate_change_theme_score,carbon_emissions_score,energy_efficiency_score,prod_carb_ftprnt_score,ins_climate_chg_risk_score
GRND,2025-09-01,BBB,6.30,6.30,6.30,,,
ATMU,2025-09-01,BB,3.10,7.40,7.40,,,
CR,2025-09-01,A,4.70,0.10,0.10,,,
KGS,2025-09-01,BBB,5.80,0.07,0.07,,,
TKO,2025-09-01,BB,6.60,6.60,6.60,,,
LAC,2025-09-01,A,2.90,0.90,0.90,,,
NATL,2025-09-01,BB,6.70,6.70,6.70,,,
NNE,2025-09-01,BBB,3.90,6.30,6.30,,,
BOW,2025-09-01,B,0.04,0.04,6.70,,,0.04
HON,2025-09-01,AAA,5.60,0.10,0.10,,,
OS,2025-09-01,BBB,4.50,6.70,6.70,,,
SIRI,2025-09-01,A,0.08,0.08,0.08,,,
PRMB,2025-09-01,BBB,3.70,3.20,9.30,,3.20,
MRP,2025-09-01,CCC,2.10,4.30,4.30,,,
FNF,2025-09-01,BB,5.70,5.70,8.70,,,5.70
AFRM,2025-09-01,BB,8.70,8.70,8.70,,,
FE,2025-09-01,A,5.80,6.90,6.90,,,
XEL,2025-09-01,AA,6.90,5.70,5.70,,,
ES,2025-09-01,AA,7.30,0.10,0.10,,,
ET,2025-09-01,BB,3.10,3.40,3.40,,,
LEVI,2025-09-01,AA,6.90,0.09,0.10,,0.09,
STT,2025-09-01,AA,0.10,0.10,0.10,,,
NTRS,2025-09-01,A,0.10,0.10,0.10,,,
GS,2025-09-01,AA,8.90,8.90,0.10,,,
MET,2025-09-01,AA,4.40,4.40,0.10,,,4.40
DIS,2025-09-01,BBB,0.10,0.10,0.10,,,
NG,2025-09-01,AAA,8.30,7.50,7.50,,,
URI,2025-09-01,AA,3.50,0.10,0.10,,,
HUN,2025-09-01,BBB,4.60,7.10,7.10,,,
LAUR,2025-09-01,BBB,5.30,5.30,5.30,,,
EPD,2025-09-01,A,0.04,0.02,0.02,,,
FANG,2025-09-01,AA,3.60,4.20,4.20,,,
DOV,2025-09-01,AAA,8.30,8.30,8.30,,,
HAL,2025-09-01,CCC,3.30,9.70,9.70,,,
NG,2025-09-01,AAA,5.80,5.80,5.80,,,
MCY,2025-09-01,AA,8.80,0.10,0.10,,,
TPB,2025-09-01,BBB,0.00,7.60,7.60,,,
SWK,2025-09-01,A,0.05,0.10,0.10,,,
PM,2025-09-01,BBB,5.70,0.10,0.10,,,
HOG,2025-09-01,AAA,0.07,0.10,0.10,,0.10,
SNDR,2025-09-01,AAA,8.20,8.20,8.20,,,
MRC,2025-09-01,AA,3.10,0.09,0.09,,,
DAN,2025-09-01,BBB,4.20,0.10,0.10,,,
JBTM,2025-09-01,A,4.10,0.10,0.10,,,
SIG,2025-09-01,AA,3.40,3.40,8.90,,3.40,
GS,2025-09-01,AA,8.90,8.90,0.10,,,
LOPE,2025-09-01,BBB,5.90,5.90,5.90,,,
AMRX,2025-09-01,B,2.40,7.70,7.70,,,
SCL,2025-09-01,A,3.90,7.60,7.60,,,
CCS,2025-09-01,A,4.50,6.80,6.80,,,
USAC,2025-09-01,B,4.90,0.05,0.05,,,
GM,2025-09-01,BBB,5.60,4.70,0.10,,4.70,
ASO,2025-09-01,AAA,2.50,2.50,8.50,,2.50,
ADUS,2025-09-01,A,5.20,5.20,5.20,,,
ARI,2025-09-01,BBB,0.07,0.07,0.07,,,
MXL,2025-09-01,BBB,3.90,4.90,4.90,,,
LYB,2025-09-01,A,3.50,5.80,5.80,,,
CBOE,2025-09-01,AA,0.10,0.10,0.10,,,
CC,2025-09-01,CCC,1.80,0.60,0.60,,,
NBHC,2025-09-01,BB,0.40,0.40,6.70,,,
KNX,2025-09-01,A,7.90,7.90,7.90,,,
EXPI,2025-09-01,BBB,3.10,6.40,6.40,,,
PCRX,2025-09-01,BB,2.40,6.40,6.40,,,
ABT,2025-09-01,BBB,0.10,0.10,0.10,,,
DVN,2025-09-01,A,2.60,2.50,2.50,,,
ENPH,2025-09-01,AA,5.80,9.60,9.60,,,
XYL,2025-09-01,AAA,6.20,0.10,0.10,,,
BJ,2025-09-01,AA,5.50,6.70,8.10,,6.70,
ALKS,2025-09-01,AA,4.50,0.08,0.08,,,
ACHC,2025-09-01,AA,6.50,6.50,6.50,,,
JAZZ,2025-09-01,A,2.50,0.08,0.08,,,
CPRI,2025-09-01,AA,5.80,8.80,0.10,,8.80,
BC,2025-09-01,BBB,4.20,7.20,0.10,,7.20,
CIM,2025-09-01,AA,3.10,0.10,0.10,,,
BRX,2025-09-01,AA,6.10,9.60,9.60,,,
FANG,2025-09-01,AA,3.60,4.20,4.20,,,
RITM,2025-09-01,CCC,6.70,6.70,6.70,,,
FBK,2025-09-01,AA,5.70,5.70,0.10,,,
CDE,2025-09-01,A,2.50,6.90,6.90,,,
NWSA,2025-09-01,BBB,8.20,0.10,0.10,,,
SAIC,2025-09-01,BBB,0.10,0.10,0.10,,,
FOXF,2025-09-01,BBB,3.40,0.10,0.10,,,
ALLE,2025-09-01,AA,5.70,0.10,0.10,,,
AR,2025-09-01,A,4.10,4.60,4.60,,,
CNH,2025-09-01,AAA,5.90,0.10,0.10,,,
BV,2025-09-01,BB,3.80,3.80,3.80,,,
PECO,2025-09-01,A,4.20,6.60,6.60,,,
QURE,2025-09-01,BB,4.10,7.20,7.20,,,
BUSE,2025-09-01,BB,0.00,0.00,6.70,,,
PCTY,2025-09-01,A,8.20,8.20,7.70,,,
ATEN,2025-09-01,A,4.70,0.07,0.07,,,
APLE,2025-09-01,B,3.20,5.60,5.60,,,
XYZ,2025-09-01,BB,0.10,0.10,0.10,,,
PAYC,2025-09-01,AA,0.09,0.09,0.09,,,
ATKR,2025-09-01,A,2.80,9.30,9.30,,,
MC,2025-09-01,BB,0.08,0.08,0.08,,,
VRDN,2025-09-01,BBB,6.10,6.70,6.70,,,
VIRT,2025-09-01,BB,6.70,6.70,6.70,,,
FE,2025-09-01,A,5.50,6.70,6.70,,,
ZD,2025-09-01,AA,9.40,9.40,9.40,,,
PLYM,2025-09-01,BB,5.10,9.10,9.10,,,
VCTR,2025-09-01,BBB,0.07,0.07,0.07,,,
BOOT,2025-09-01,A,1.90,2.40,6.50,,2.40,
WK,2025-09-01,AAA,0.06,0.10,0.10,,,
CAT,2025-09-01,BBB,6.70,6.70,6.70,,,
CC,2025-09-01,A,3.90,8.20,8.20,,,
FTAI,2025-09-01,BBB,2.20,0.08,0.08,,,
GNL,2025-09-01,CCC,2.20,4.40,4.40,,,
TDOC,2025-09-01,A,6.60,6.60,6.60,,,
PFGC,2025-09-01,A,2.30,1.40,0.10,,1.40,
TPH,2025-09-01,A,5.40,6.80,6.80,,,
PEN,2025-09-01,BBB,7.60,7.60,7.60,,,
ACI,2025-09-01,BBB,4.30,4.30,0.10,,4.30,
GOOGL,2025-09-01,BBB,7.60,9.70,9.70,,,
NTNX,2025-09-01,AAA,6.30,9.70,9.70,,,
PR,2025-09-01,BBB,3.50,3.70,3.70,,,
ULCC,2025-09-01,A,1.20,1.20,1.20,,,
EQT,2025-09-01,AAA,0.10,0.10,0.10,,,
HCC,2025-09-01,BBB,2.30,0.04,0.04,,,
APA,2025-09-01,AAA,6.80,6.50,6.50,,,
WCN,2025-09-01,A,4.90,6.40,6.40,,,
ABNB,2025-09-01,BB,0.10,0.10,0.10,,,
PI,2025-09-01,BB,2.90,7.50,7.50,,,
AMR,2025-09-01,B,0.80,0.00,0.00,,,
SHC,2025-09-01,A,4.10,7.90,7.90,,,
HGV,2025-09-01,AA,2.40,4.20,4.20,,,
BHF,2025-09-01,BB,5.40,5.40,7.30,,,5.40
AVDL,2025-09-01,BBB,2.20,6.40,6.40,,,
DBRG,2025-09-01,BB,0.10,0.10,0.10,,,
ALIT,2025-09-01,BBB,0.10,0.10,0.10,,,
LBRT,2025-09-01,BB,5.40,5.80,5.80,,,
SMPL,2025-09-01,BBB,1.40,0.90,6.30,,0.90,
ACMR,2025-09-01,B,2.70,6.30,6.30,,,
VICI,2025-09-01,A,5.80,7.30,7.30,,,
CNR,2025-09-01,BBB,2.70,1.40,1.40,,,
CNNE,2025-09-01,BB,2.80,2.80,2.80,,,
DOCU,2025-09-01,AAA,5.80,0.10,0.10,,,
TALO,2025-09-01,A,4.30,4.70,4.70,,,
SRRK,2025-09-01,BB,6.10,6.70,6.70,,,
CRL,2025-09-01,AA,6.80,9.80,9.80,,,
SONO,2025-09-01,AA,0.10,0.10,0.10,,,
CAVA,2025-09-01,BB,1.30,5.40,5.40,,,
EAI,2025-09-01,BBB,6.40,6.40,8.60,,,
PINS,2025-09-01,BBB,0.10,0.10,0.10,,,
PD,2025-09-01,AA,5.40,0.10,0.10,,,
ADPT,2025-09-01,BBB,5.80,5.80,5.80,,,
PHR,2025-09-01,BBB,6.70,6.70,6.70,,,
NET,2025-09-01,BBB,0.09,0.09,0.09,,,
SITM,2025-09-01,B,3.40,4.70,4.70,,,
ACEL,2025-09-01,BBB,4.80,4.80,4.80,,,
OVV,2025-09-01,AAA,4.60,4.30,4.30,,,
ORIC,2025-09-01,BB,5.10,6.70,6.70,,,
FOUR,2025-09-01,B,6.70,6.70,6.70,,,
ADEA,2025-09-01,A,0.10,0.10,0.10,,,
LCID,2025-09-01,A,9.20,0.10,7.80,,0.10,
CZR,2025-09-01,AA,6.70,8.90,8.90,,,
STEP,2025-09-01,B,0.09,0.09,0.09,,,
EVEX,2025-09-01,B,5.30,8.10,8.10,,,
ROOT,2025-09-01,CCC,0.30,0.30,0.09,,,0.30
NVTS,2025-09-01,BB,3.80,8.80,8.80,,,
UPST,2025-09-01,BB,0.07,0.07,0.07,,,
SPRY,2025-09-01,CCC,1.80,6.70,6.70,,,
AI,2025-09-01,BBB,5.50,0.07,0.07,,,
SOUN,2025-09-01,BB,4.80,6.70,6.70,,,
HAYW,2025-09-01,A,5.50,7.90,7.90,,,
PRVA,2025-09-01,AAA,5.90,5.90,5.90,,,
IAS,2025-09-01,B,8.30,8.30,8.30,,,
SOFI,2025-09-01,B,7.30,7.30,7.30,,,
RYAN,2025-09-01,BBB,7.10,7.10,8.30,,,7.10
TBLA,2025-09-01,BBB,7.60,7.60,7.60,,,
PAYO,2025-09-01,BBB,7.30,7.30,7.30,,,
ALIT,2025-09-01,BBB,0.10,0.10,0.10,,,
NABL,2025-09-01,A,4.90,0.07,0.07,,,
STGW,2025-09-01,BBB,6.70,6.70,6.70,,,
GTLB,2025-09-01,AA,5.40,8.30,8.30,,,
ARIS,2025-09-01,BB,6.30,6.20,6.20,,,
BRZE,2025-09-01,A,5.20,7.70,7.70,,,
VNT,2025-09-01,A,3.50,0.10,0.10,,,
CRGY,2025-09-01,BBB,2.30,3.20,3.20,,,
RGTI,2025-09-01,B,2.80,4.20,4.20,,,
FRT,2025-09-01,AA,6.70,9.60,9.60,,,
SDRL,2025-09-01,B,3.70,2.20,2.20,,,
EMR,2025-09-01,AA,6.80,0.09,0.09,,,
BKV,2025-09-01,A,3.80,4.20,4.20,,,
COLD,2025-09-01,BB,5.30,0.09,0.09,,,
KKR,2025-09-01,BBB,0.07,0.07,0.07,,,
PGY,2025-09-01,BB,4.60,6.70,6.70,,,
GBTG,2025-09-01,AAA,0.10,0.10,0.10,,,
MBLY,2025-09-01,A,6.20,8.50,8.50,,,
RXO,2025-09-01,AA,6.80,6.80,6.80,,,
GEHC,2025-09-01,A,0.10,0.10,0.10,,,
AMR,2025-09-01,B,2.60,8.30,8.30,,,
FIBK,2025-09-01,BBB,0.00,0.00,0.08,,,
HHH,2025-09-01,AA,7.70,0.10,0.10,,,
KVYO,2025-09-01,A,4.80,6.70,6.70,,,
GRDN,2025-09-01,BBB,3.30,3.30,6.10,,3.30,
ULS,2025-09-01,A,0.10,0.10,0.10,,,
LAZ,2025-09-01,AA,4.10,4.10,9.70,,,
CTRI,2025-09-01,BBB,2.70,7.30,7.30,,,
LB,2025-09-01,CCC,4.20,2.90,2.90,,,
FUN,2025-09-01,BBB,3.40,4.60,4.60,,,
FERG,2025-09-01,AA,4.30,0.10,0.10,,,
APTV,2025-09-01,AA,5.70,0.10,0.10,,,
DJT,2025-09-01,BBB,6.20,6.20,6.20,,,
LION,2025-09-01,A,6.70,6.70,6.70,,,
SPHR,2025-09-01,BB,7.80,7.80,7.80,,,
MSGS,2025-09-01,B,7.90,7.90,7.90,,,
MSGE,2025-09-01,B,7.30,7.30,7.30,,,
MRC,2025-09-01,A,6.40,6.60,6.60,,,
FE,2025-09-01,A,5.70,5.50,5.50,,,
CZR,2025-09-01,AA,6.70,8.90,8.90,,,
AXP,2025-09-01,AA,0.10,0.10,0.10,,,
AROC,2025-09-01,A,0.07,7.20,7.20,,,
ZION,2025-09-01,A,1.10,1.10,8.70,,,
AD,2025-09-01,AA,5.40,5.50,0.10,,5.50,
VNO,2025-09-01,BB,7.10,9.10,9.10,,,
PEG,2025-09-01,AA,7.40,0.10,0.10,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
SO,2025-09-01,A,5.60,5.90,5.90,,,
BURL,2025-09-01,AA,3.20,5.50,0.10,,5.50,
NG,2025-09-01,AAA,7.80,0.10,0.10,,,
BXP,2025-09-01,A,7.60,9.70,7.70,,,
AAL,2025-09-01,A,3.70,7.30,7.30,,,
SLB,2025-09-01,A,8.10,9.40,9.40,,,
CHTR,2025-09-01,BBB,0.10,0.10,0.10,,,
F,2025-09-01,BB,4.40,3.10,0.10,,3.10,
KRC,2025-09-01,BBB,7.10,0.09,0.09,,,
SCHW,2025-09-01,BBB,4.50,4.50,0.09,,,
MDT,2025-09-01,BBB,0.10,0.10,0.10,,,
FN,2025-09-01,A,2.30,9.20,9.20,,,
HP,2025-09-01,B,3.70,3.80,3.80,,,
TNET,2025-09-01,A,0.08,0.08,0.08,,,
VZ,2025-09-01,A,0.10,0.10,0.10,,,
FHB,2025-09-01,BBB,1.80,1.80,0.08,,,
HCI,2025-09-01,CCC,0.00,0.00,6.70,,,0.00
MYRG,2025-09-01,AAA,4.50,0.10,0.10,,,
CPAY,2025-09-01,BB,0.08,0.08,0.08,,,
RKT,2025-09-01,AA,6.60,0.10,0.10,,0.10,
MD,2025-09-01,AA,6.40,6.40,6.40,,,
NG,2025-09-01,AAA,7.80,0.10,0.10,,,
INSW,2025-09-01,B,2.50,2.30,2.30,,,
LILA,2025-09-01,A,0.10,0.10,0.10,,,
FE,2025-09-01,A,5.40,5.20,5.20,,,
STWD,2025-09-01,BBB,7.50,7.50,7.50,,,
BUR,2025-09-01,AA,0.07,0.07,0.07,,,
FTNT,2025-09-01,BBB,0.10,0.10,0.10,,,
PRI,2025-09-01,BBB,8.60,8.60,8.70,,,8.60
AMRC,2025-09-01,BBB,4.80,0.10,0.10,,,
FAF,2025-09-01,BBB,5.50,5.50,0.07,,,5.50
CSCO,2025-09-01,AA,0.06,0.10,0.10,,,
BG,2025-09-01,AAA,7.60,7.60,0.10,,,
TAP,2025-09-01,AAA,7.10,9.40,0.10,,9.40,
MBIN,2025-09-01,B,1.80,1.80,6.70,,,
HHH,2025-09-01,AA,7.70,0.10,0.10,,,
HCA,2025-09-01,A,7.50,7.50,7.50,,,
BAH,2025-09-01,BBB,0.10,0.10,0.10,,,
APAM,2025-09-01,AAA,5.80,0.07,0.07,,,
MPC,2025-09-01,A,4.40,4.50,4.50,,,
HII,2025-09-01,AA,2.30,8.90,8.90,,,
HOUS,2025-09-01,AA,3.20,7.70,7.70,,,
UAN,2025-09-01,CCC,0.60,1.30,1.30,,,
SGRY,2025-09-01,BBB,5.20,5.20,5.20,,,
HLI,2025-09-01,B,8.30,8.30,8.30,,,
MOS,2025-09-01,A,4.60,6.30,6.30,,,
COMM,2025-09-01,AA,2.90,0.10,0.10,,,
NMIH,2025-09-01,A,4.50,4.50,8.70,,,4.50
CQP,2025-09-01,A,4.10,1.90,1.90,,,
ZTS,2025-09-01,AAA,5.50,0.10,0.10,,,
AGIO,2025-09-01,BB,2.40,6.70,6.70,,,
TMUS,2025-09-01,BB,0.10,0.10,0.10,,,
LGIH,2025-09-01,BBB,2.40,5.80,5.80,,,
GLPI,2025-09-01,BB,4.90,5.60,5.60,,,
PRGO,2025-09-01,BBB,3.10,0.10,0.10,,,
LPG,2025-09-01,B,1.80,1.30,1.30,,,
MGNI,2025-09-01,BBB,0.08,0.08,0.08,,,
QTWO,2025-09-01,AA,5.50,0.09,0.09,,,
PAHC,2025-09-01,AA,3.40,7.70,7.70,,,
BOX,2025-09-01,AA,5.40,8.30,8.30,,,
SNDX,2025-09-01,BB,4.10,0.07,0.07,,,
LC,2025-09-01,BB,6.70,6.70,6.70,,,
CTRE,2025-09-01,BBB,3.40,5.90,5.90,,,
SLM,2025-09-01,AA,0.09,0.09,0.09,,,
WFRD,2025-09-01,A,7.70,9.30,9.30,,,
OCUL,2025-09-01,BBB,2.20,6.40,6.40,,,
TFIN,2025-09-01,BB,0.00,0.00,8.30,,,
W,2025-09-01,BBB,4.90,6.70,0.10,,6.70,
HUBS,2025-09-01,AA,0.10,0.10,0.10,,,
XENE,2025-09-01,A,6.10,6.70,6.70,,,
MCW,2025-09-01,A,5.40,5.40,5.40,,,
ROAD,2025-09-01,B,2.20,6.20,6.20,,,
GMED,2025-09-01,BBB,6.40,6.40,6.40,,,
NG,2025-09-01,AAA,7.80,0.10,0.10,,,
RUN,2025-09-01,A,7.50,0.10,0.10,,,
QRVO,2025-09-01,A,0.05,8.80,8.80,,,
SHAK,2025-09-01,BBB,1.80,0.07,0.07,,,
DEA,2025-09-01,A,6.30,6.30,6.30,,,
MEG,2025-09-01,BBB,0.10,0.10,0.10,,,
NXRT,2025-09-01,B,2.60,4.60,4.60,,,
COOP,2025-09-01,BBB,3.50,3.50,0.07,,,
GKOS,2025-09-01,AAA,8.60,8.60,8.60,,,
LTH,2025-09-01,A,5.20,8.80,8.80,,,
SYRE,2025-09-01,BB,0.06,6.70,6.70,,,
SITE,2025-09-01,AA,3.40,7.70,7.70,,,
LBTYA,2025-09-01,B,0.10,0.10,0.10,,,
ADT,2025-09-01,AAA,8.90,8.90,8.90,,,
NTLA,2025-09-01,BBB,6.10,0.08,0.08,,,
PLSE,2025-09-01,B,6.60,6.60,6.60,,,
ITT,2025-09-01,AA,4.50,0.10,0.10,,,
CWH,2025-09-01,A,3.70,4.90,6.10,,4.90,
CASH,2025-09-01,BBB,0.10,0.10,0.10,,,
DXC,2025-09-01,AA,6.20,0.10,0.10,,,
SEI,2025-09-01,BB,5.20,0.06,0.06,,,
AVTR,2025-09-01,AA,0.10,0.10,0.10,,,
CTOS,2025-09-01,BBB,2.60,8.20,8.20,,,
RYTM,2025-09-01,B,0.04,5.70,5.70,,,
ROKU,2025-09-01,BB,6.70,6.70,6.70,,,
MDB,2025-09-01,AA,4.50,5.50,5.50,,,
VICI,2025-09-01,A,5.80,7.30,7.30,,,
BTSG,2025-09-01,A,5.70,5.70,5.70,,,
EQT,2025-09-01,AA,6.70,6.70,6.70,,,
PTON,2025-09-01,BB,0.05,5.20,5.20,,,
DNTH,2025-09-01,BB,6.10,6.70,6.70,,,
BV,2025-09-01,BB,3.80,3.80,3.80,,,
EPRT,2025-09-01,BBB,3.70,6.30,6.30,,,
ESTA,2025-09-01,AA,0.09,0.09,0.09,,,
FTDR,2025-09-01,AAA,8.40,8.40,8.40,,,
FBRT,2025-09-01,BB,0.08,0.08,0.08,,,
NWN,2025-09-01,A,7.40,7.40,7.40,,,
PFSI,2025-09-01,A,4.30,4.30,0.08,,,
MTH,2025-09-01,AAA,3.30,3.80,0.10,,3.80,
MVST,2025-09-01,BB,4.60,0.07,0.07,,,
DOW,2025-09-01,AA,4.70,5.90,5.90,,,
HMN,2025-09-01,A,7.60,9.20,9.20,,,
CRWD,2025-09-01,BB,0.09,0.09,0.09,,,
STOK,2025-09-01,B,6.60,6.70,6.70,,,
BBIO,2025-09-01,BB,0.02,7.70,7.70,,,
REAL,2025-09-01,AAA,0.10,0.10,0.10,,,
SEZL,2025-09-01,B,6.70,6.70,6.70,,,
AAMI,2025-09-01,BB,0.07,0.07,0.07,,,
MIRM,2025-09-01,B,1.90,6.70,6.70,,,
ASTS,2025-09-01,BB,6.20,6.20,6.20,,,
BEAM,2025-09-01,BB,0.06,6.70,6.70,,,
ETNB,2025-09-01,A,6.10,6.70,6.70,,,
CMPR,2025-09-01,BBB,0.06,0.10,0.10,,,
ROOT,2025-09-01,CCC,0.30,0.30,0.09,,,0.30
SYK,2025-09-01,A,7.70,7.70,7.70,,,
PCOR,2025-09-01,AA,5.80,0.07,0.07,,,
MP,2025-09-01,BB,1.60,3.20,3.20,,,
AON,2025-09-01,A,7.80,7.80,0.10,,,7.80
PCVX,2025-09-01,BBB,5.90,6.70,6.70,,,
RNA,2025-09-01,BB,0.06,6.70,6.70,,,
EBC,2025-09-01,BBB,1.10,1.10,6.70,,,
RKT,2025-09-01,BBB,3.70,3.70,8.30,,,
HRMY,2025-09-01,BB,0.02,6.40,6.40,,,
KYMR,2025-09-01,BBB,6.10,6.70,6.70,,,
WGS,2025-09-01,BBB,5.90,5.90,5.90,,,
IMNM,2025-09-01,BBB,6.10,6.70,6.70,,,
HLMN,2025-09-01,A,3.40,5.80,5.80,,,
PRAX,2025-09-01,B,6.60,6.70,6.70,,,
LQDA,2025-09-01,BBB,1.90,6.40,6.40,,,
CERT,2025-09-01,A,0.09,0.09,0.09,,,
CORZ,2025-09-01,B,0.00,0.00,0.00,,,
RUM,2025-09-01,BB,6.20,6.20,6.20,,,
HGTY,2025-09-01,B,1.30,1.30,6.70,,,1.30
CRCT,2025-09-01,A,3.80,6.70,6.70,,,
DOCN,2025-09-01,BBB,4.70,4.40,4.40,,,
LUNR,2025-09-01,BB,3.40,6.40,6.40,,,
OUST,2025-09-01,BBB,2.70,6.50,6.50,,,
COMP,2025-09-01,BBB,5.30,6.40,6.40,,,
PAYX,2025-09-01,AA,8.70,8.70,8.70,,,
LFST,2025-09-01,BBB,5.90,5.90,5.90,,,
JANX,2025-09-01,BB,6.10,6.70,6.70,,,
STX,2025-09-01,AA,3.50,0.10,0.10,,,
YOU,2025-09-01,AAA,8.70,9.90,0.10,,9.90,
GXO,2025-09-01,AA,0.10,0.10,0.10,,,
XMTR,2025-09-01,B,2.20,0.07,0.07,,,
BLND,2025-09-01,BBB,4.90,6.70,6.70,,,
CTOS,2025-09-01,AA,0.10,0.10,0.10,,,
RKLB,2025-09-01,A,4.40,6.20,6.20,,,
RDW,2025-09-01,A,3.10,6.20,6.20,,,
ROIV,2025-09-01,BB,4.60,5.70,5.70,,,
UDMY,2025-09-01,BB,0.07,0.07,0.07,,,
AUR,2025-09-01,BBB,0.05,6.70,6.70,,,
CP,2025-09-01,A,5.20,5.20,5.20,,,
NCNO,2025-09-01,BBB,4.90,6.70,6.70,,,
FG,2025-09-01,CCC,5.30,5.30,0.07,,,5.30
GCT,2025-09-01,A,1.80,1.80,5.50,,1.80,
WELL,2025-09-01,AA,6.10,9.60,9.60,,,
ZBH,2025-09-01,AA,6.40,6.40,6.40,,,
GTM,2025-09-01,A,0.10,0.10,0.10,,,
SBGI,2025-09-01,BB,0.08,0.08,0.08,,,
BGC,2025-09-01,B,6.70,6.70,6.70,,,
CART,2025-09-01,BB,6.20,6.20,6.20,,,
WS,2025-09-01,BBB,2.90,2.80,2.80,,,
HUT,2025-09-01,BBB,0.03,0.03,0.03,,,
CGON,2025-09-01,BBB,6.60,6.70,6.70,,,
SOLV,2025-09-01,A,6.80,6.80,6.80,,,
PACS,2025-09-01,B,5.10,5.10,5.10,,,
RAPP,2025-09-01,BBB,0.05,6.70,6.70,,,
CON,2025-09-01,BBB,6.10,6.10,6.10,,,
SNDK,2025-09-01,B,3.80,6.40,6.40,,,
K,2025-09-01,A,2.90,0.09,0.09,,,
DAKT,2025-09-01,BBB,3.40,5.50,5.50,,,
UGI,2025-09-01,AAA,0.06,7.50,7.50,,,
ECL,2025-09-01,A,0.06,7.50,7.50,,,
LDOS,2025-09-01,AA,6.60,0.10,0.10,,,
VOYA,2025-09-01,A,0.05,0.05,0.10,,,
NG,2025-09-01,AAA,7.80,0.10,0.10,,,
ENB,2025-09-01,A,3.10,3.50,3.50,,,
KHC,2025-09-01,AA,4.40,5.70,9.30,,5.70,
VST,2025-09-01,BB,2.40,1.80,1.80,,,
SO,2025-09-01,A,5.60,5.90,5.90,,,
ELV,2025-09-01,AAA,0.10,0.10,0.10,,,
CNP,2025-09-01,A,0.06,6.30,6.30,,,
EXC,2025-09-01,AA,6.50,5.90,5.90,,,
AES,2025-09-01,A,4.90,3.90,3.90,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
GE,2025-09-01,BBB,2.60,0.10,0.10,,,
CHTR,2025-09-01,BBB,0.10,0.10,0.10,,,
AEP,2025-09-01,AA,6.80,5.90,5.90,,,
CMCSA,2025-09-01,BBB,0.10,0.10,0.10,,,
BY,2025-09-01,BBB,0.00,0.00,0.08,,,
MEG,2025-09-01,AA,3.50,1.70,1.70,,,
COOP,2025-09-01,BBB,3.90,3.90,0.08,,,
AGNC,2025-09-01,A,7.70,7.70,7.70,,,
FBK,2025-09-01,BBB,0.01,0.01,6.70,,,
ZWS,2025-09-01,AAA,7.10,0.10,0.10,,,
RIG,2025-09-01,B,3.70,3.70,3.70,,,
SFBS,2025-09-01,BB,1.10,1.10,0.07,,,
UGI,2025-09-01,AAA,8.40,8.40,8.40,,,
BKU,2025-09-01,BBB,1.50,1.50,6.70,,,
FN,2025-09-01,BB,3.10,3.10,0.08,,,
BAM,2025-09-01,BB,9.70,9.70,9.70,,,
CAR,2025-09-01,AAA,0.10,0.10,0.10,,,
SMR,2025-09-01,BBB,1.70,1.30,1.30,,,
TRNO,2025-09-01,BBB,5.50,5.70,5.70,,,
SPSC,2025-09-01,AA,4.80,6.70,6.70,,,
SHC,2025-09-01,BBB,5.30,0.09,0.09,,,
SPG,2025-09-01,BBB,5.70,9.20,9.20,,,
LPLA,2025-09-01,A,0.09,0.09,0.09,,,
OUT,2025-09-01,BB,5.30,5.30,0.10,,,5.30
STAG,2025-09-01,BB,4.50,9.60,9.60,,,
AL,2025-09-01,A,6.20,0.10,0.10,,,
EFX,2025-09-01,A,7.50,8.60,8.60,,,
SLB,2025-09-01,A,8.10,9.40,9.40,,,
FBIN,2025-09-01,AAA,6.60,9.40,9.40,,,
ALSN,2025-09-01,A,0.04,8.30,8.30,,,
CG,2025-09-01,BBB,0.10,0.10,0.10,,,
PBF,2025-09-01,BBB,2.70,0.02,0.02,,,
META,2025-09-01,B,0.10,0.10,0.10,,,
MATX,2025-09-01,BBB,5.40,5.60,5.60,,,
EQT,2025-09-01,AA,4.30,4.10,2.90,,,
EXE,2025-09-01,BB,5.30,5.30,5.30,,,
PANW,2025-09-01,AAA,0.10,0.10,0.10,,,
IVZ,2025-09-01,AA,0.10,0.10,0.10,,,
ETN,2025-09-01,A,6.30,0.10,0.10,,,
WELL,2025-09-01,A,6.40,6.40,6.40,,,
FUBO,2025-09-01,BBB,6.70,6.70,6.70,,,
EA,2025-09-01,AA,5.20,0.10,0.10,,,
LEG,2025-09-01,AAA,4.30,8.90,8.90,,,
APAM,2025-09-01,A,9.30,9.30,9.30,,,
AMH,2025-09-01,BB,3.40,6.80,6.80,,,
EVTC,2025-09-01,BBB,0.08,0.08,0.08,,,
NIC,2025-09-01,B,0.00,0.00,6.70,,,
ESI,2025-09-01,A,5.50,9.70,9.70,,,
PTCT,2025-09-01,BB,0.02,8.10,8.10,,,
VEEV,2025-09-01,AA,0.09,0.09,0.09,,,
AAOI,2025-09-01,B,2.30,0.10,0.10,,,
ADMA,2025-09-01,B,4.30,5.70,5.70,,,
OMF,2025-09-01,A,0.08,0.08,0.08,,,
